,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
170,SAMSUNG Galaxy F23 5G,Forest Green,128,6,5000,50MP,8MP,False,16.76,Qualcomm Snapdragon 750G,16999.0
171,POCO M3 Pro 5G,Yellow,128,6,5000,48MP,8MP,False,16.51,MediaTek Dimensity 700,14499.0
172,Infinix Smart 6 HD,Force Black,32,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,5999.0
173,Infinix Smart 6 HD,Aqua Sky,32,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,5999.0
174,Infinix Smart 6 HD,Origin Blue,32,2,5000,8MP,5MP,False,16.76,Mediatek Helio A22,5999.0
175,POCO X5 Pro 5G,Astral Black,256,8,5000,108MP,16MP,False,16.94,Qualcomm Snapdragon 778G,23999.0
176,REDMI Note 12 5G,Frosted Green,128,4,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 4 Gen 1,16999.0
177,REDMI Note 12,Lunar Black,64,6,5000,50MP,13MP,False,16.94,Snapdragon 685,14999.0
178,Infinix Hot 20 5G,Blaster Green,128,6,5000,50MP,8MP,True,16.76,Dimensity 810,13499.0
179,realme C31,Dark Green,64,4,5000,13MP,5MP,False,16.56,Unisoc T612,8749.0
180,realme C31,Light Silver,32,3,5000,13MP,5MP,False,16.56,Unisoc T612,8049.0
181,micromax,Light Silver,32,3,2550,0MP,0MP,False,16.71,SC6531E,1375.0
182,micromax1,Light Silver,32,3,800,0MP,0MP,False,16.71,SC6531E,1599.0
183,OPPO A17,Lake Blue,64,4,5000,50MP,5MP,False,16.66,Mediatek Helio G35,12499.0
184,realme 9 5G SE,Azure Glow,128,8,5000,48MP,16MP,False,16.76,Qualcomm Snapdragon 778G,17999.0
185,realme 9 5G SE,Starry Glow,128,8,5000,48MP,16MP,False,16.76,Qualcomm Snapdragon 778G,17999.0
186,realme 9i 5G,Soulful Blue,128,6,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,16999.0
187,realme 9i 5G,Rocking Black,64,4,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,14999.0
188,POCO M4 Pro,Cool Blue,128,8,5000,64MP,16MP,False,16.33,Mediatek Helio G96,13999.0
189,realme C33 2023,Sandy Gold,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
190,realme C33 2023,Aqua Blue,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
191,realme C33 2023,Night Sea,64,4,5000,50MP,5MP,False,16.51,Unisoc T612,9999.0
192,realme C31,Dark Green,32,3,5000,13MP,5MP,False,16.56,Unisoc T612,8049.0
193,micromax 2,Dark Green,32,4,1020,2MP,0MP,False,16.71,MediaTek,2499.0
194,Infinix Hot 20 5G,Space Blue,128,6,5000,50MP,8MP,True,16.76,Dimensity 810,13499.0
195,realme 9i 5G,Metallica Gold,128,6,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,16999.0
196,realme 9i 5G,Rocking Black,128,6,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,16999.0
197,realme 9i 5G,Soulful Blue,64,4,5000,50MP,8MP,False,16.76,Mediatek Dimensity 810 5G,14999.0
198,realme C21Y,Cross Black,32,3,5000,13MP,5MP,False,16.51,Unisoc T610,7499.0
199,realme Narzo 50i Prime,Dark Blue,32,3,5000,8MP,5MP,False,16.51,Unisoc T612 processor,7245.0
200,POCO X5 5G,Wildcat Blue,256,8,5000,48MP,13MP,False,16.94,Qualcomm Snapdragon 695,17999.0
